,Unnamed: 0,Name,Country,Position,Age,Overall_Rating,Potential,Duration,Team,Value_euros,Wage € K,Total_Stats,photo_link,country_flag_img_link
1536,1552,Dilane Bakwa,France,RM,19,68,81,2019 ~ 2025,Bordeaux,2900000.0,2.0,1648,https://cdn.sofifa.net/players/250/789/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
1758,1777,Johaneko Louis-Jean,France,LB,18,60,70,2022 ~ 2025,Bordeaux,500000.0,500.0,1438,https://cdn.sofifa.net/players/271/497/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
2025,2049,Josh Maja,Nigeria,CAM,23,72,78,2019 ~ 2023,Bordeaux,3700000.0,7.0,1740,https://cdn.sofifa.net/players/235/161/23_180.png, https://cdn.sofifa.net/flags/ng@3x.png
2251,2279,Frank Acheampong,Ghana,LM,28,75,75,2021 ~ 2024,Shenzhen,6000000.0,14.0,2040,https://cdn.sofifa.net/players/213/013/23_180.png, https://cdn.sofifa.net/flags/gh@3x.png
2825,2862,Konstantinos Tzolakis,Greece,GK,18,67,81,2019 ~ 2024,Olympiakos Piraeus,2100000.0,500.0,1126,https://cdn.sofifa.net/players/252/552/22_180.png, https://cdn.sofifa.net/flags/gr@3x.png
2947,2986,Danylo Ignatenko,Ukraine,CDM,25,69,72,2022 ~ 2023,Bordeaux,1800000.0,4.0,1844,https://cdn.sofifa.net/players/245/495/23_180.png, https://cdn.sofifa.net/flags/ua@3x.png
3014,3054,Xin Zhou,China PR,CDM,24,53,60,2019 ~ 2023,Shenzhen,170000.0,1.0,1377,https://cdn.sofifa.net/players/243/506/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
3069,3110,Weijun Dai,China PR,RM,22,66,75,2020 ~ 2023,Shenzhen,1900000.0,3.0,1780,https://cdn.sofifa.net/players/240/805/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
4106,4164,Marvin De Lima,France,LW,18,60,73,2023 ~ 2026,Bordeaux,575000.0,650.0,1429,https://cdn.sofifa.net/players/271/305/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
4520,4584,Aguibou Camara,Guinea,RW,20,69,80,2021 ~ 2025,Olympiakos Piraeus,3100000.0,500.0,1737,https://cdn.sofifa.net/players/263/326/22_180.png, https://cdn.sofifa.net/flags/gn@3x.png
4620,4684,Issouf Sissokho,Mali,CM,20,67,76,2020 ~ 2025,Bordeaux,2100000.0,2.0,1745,https://cdn.sofifa.net/players/261/306/23_180.png, https://cdn.sofifa.net/flags/ml@3x.png
4967,5039,Sphephelo Sithole,South Africa,CM,22,70,78,2019 ~ 2024,Belenenses,3400000.0,4.0,1817,https://cdn.sofifa.net/players/257/293/22_180.png, https://cdn.sofifa.net/flags/za@3x.png
5178,5253,Richard Birkheun Rodrigues,Brazil,ST,20,67,79,2020 ~ 2021,Belenenses,2500000.0,2.0,1812,https://cdn.sofifa.net/players/252/289/21_180.png, https://cdn.sofifa.net/flags/br@3x.png
5823,5911,Ousseynou Ba,Senegal,CB,25,72,76,2019 ~ 2024,Olympiakos Piraeus,2900000.0,900.0,1615,https://cdn.sofifa.net/players/240/064/22_180.png, https://cdn.sofifa.net/flags/sn@3x.png
